0	2248.94	2162.05	2179.39	2113.79	2158.09	2145.8	2116.1	2159	2179.25	2201.1	2178.47	2125
38.94	0	137.42	185.46	132.97	134.18	169.15	123.05	197.93	208.64	212.71	198.14	154.06
32.05	217.42	0	178.09	125.65	134	161.76	116.6	191.05	203.85	210.92	195.2	149.53
19.39	235.46	148.09	0	107.6	149.01	145.18	112.98	177.48	197.48	213.16	193.92	143.41
18.79	247.97	160.65	172.6	0	161.4	144	122.55	173.47	197.69	218.92	197.21	143.23
33.09	219.18	139	184.01	131.4	0	165.65	117.08	191.87	199.95	203.63	188.96	145.22
10.8	244.15	156.76	170.18	104	155.65	0	114.84	167.73	190.04	209.95	188.63	135.8
16.1	233.05	146.6	172.98	117.55	142.08	149.84	0	175.01	188.27	200.54	182.32	134.15
9	257.93	171.05	187.48	118.47	166.87	152.73	125.01	0	175.17	202.25	176.94	120.25
34.25	273.64	188.85	212.48	147.69	179.95	180.04	143.27	180.17	0	182.06	149.47	90.95
46.1	267.71	185.92	218.16	158.92	173.63	189.95	145.54	197.25	172.06	0	144.06	110.17
48.47	278.14	195.2	223.92	162.21	183.96	193.63	152.32	196.94	164.47	169.06	0	98
45	284.06	199.53	223.41	158.23	190.22	190.8	154.15	190.25	155.95	185.17	148	0
