0	1335.15	1542.45	1456.71	1476.16	1410.66	1452.58	1444	1413.42	1457.5	1473.54	1493.42	1470.39	1417.5
1335.15	0	1550.5	1469.46	1502.98	1443.97	1458.03	1476.49	1432.21	1487.59	1471.2	1463.08	1449.21	1410.89
32.45	40.5	0	136.18	181.21	126.64	132.65	163.46	119.21	189.94	198.03	203.09	186.78	141.72
26.71	39.46	216.18	0	175.07	120.54	132.5	157.3	113.83	184.21	194.04	201.6	184.33	137.94
16.16	42.98	231.21	145.07	0	105.5	145.01	143.49	110.82	172.9	188.73	203.47	183.27	132.84
15.66	48.97	241.64	155.54	170.5	0	155.34	142.5	118.79	169.56	188.91	208.27	186	132.69
27.58	33.03	217.65	137.5	180.01	125.34	0	160.54	114.23	184.89	190.79	195.53	179.14	134.35
9	41.49	238.46	152.3	168.49	102.5	150.54	0	112.37	164.77	182.53	200.79	178.86	126.5
13.42	32.21	229.21	143.83	170.82	113.79	139.23	147.37	0	170.84	181.06	192.95	173.6	125.12
7.5	37.59	249.94	164.21	182.9	114.56	159.89	149.77	120.84	0	170.14	194.37	169.12	113.54
28.54	26.2	263.03	179.04	203.73	138.91	170.79	172.53	136.06	175.14	0	177.55	146.22	89.12
38.42	8.08	258.09	176.6	208.47	148.27	165.53	180.79	137.95	189.37	167.55	0	141.72	105.14
40.39	19.21	266.78	184.33	213.27	151	174.14	183.86	143.6	189.12	161.22	166.72	0	95
37.5	30.89	271.72	187.94	212.84	147.69	179.35	181.5	145.12	183.54	154.12	180.14	145	0
