0	3177.33	3381.39	3288.76	3295.55	3229.45	3285.68	3254.8	3229.52	3266.5	3307.79	3339.52	3318.86	3262.5
3177.33	0	3399.1	3316.81	3354.56	3302.73	3297.67	3326.28	3270.86	3332.7	3302.64	3272.78	3272.26	3247.96
71.39	89.1	0	143.6	206.66	164.61	141.83	197.61	142.26	237.87	261.67	260.8	254.92	215.78
58.76	86.81	223.6	0	193.15	151.19	141.5	184.06	130.43	225.26	252.89	257.52	249.53	207.47
35.55	94.56	256.66	163.15	0	118.1	169.02	153.68	123.8	200.38	241.21	261.63	247.19	196.25
34.45	107.73	279.61	186.19	183.1	0	191.75	151.5	141.34	193.03	241.6	272.19	253.2	195.92
60.68	72.67	226.83	146.5	204.02	161.75	0	191.19	131.31	226.76	245.74	244.17	238.11	199.57
19.8	91.28	272.61	179.06	178.68	111.5	181.19	0	127.21	182.49	227.57	255.74	237.49	182.3
29.52	70.86	252.26	160.43	183.8	136.34	156.31	162.21	0	195.85	224.33	238.49	225.92	179.26
16.5	82.7	297.87	205.26	210.38	138.03	201.76	167.49	145.85	0	200.31	241.61	216.06	153.79
62.79	57.64	326.67	237.89	256.21	191.6	225.74	217.57	179.33	205.31	0	204.61	165.68	100.06
84.52	17.78	315.8	232.52	266.63	212.19	214.17	235.74	183.49	236.61	194.61	0	155.78	135.31
88.86	42.26	334.92	249.53	277.19	218.2	233.11	242.49	195.92	236.06	180.68	180.78	0	113
82.5	67.96	345.78	257.47	276.25	210.92	244.57	237.3	199.26	223.79	165.06	210.31	163	0
